estimator,metric,region,t,p,partial_eta2,n,mean_delta_walking,mean_delta_control,q
spearman,within_network_z,DorsAttn,-1.3954144901587942,0.16289088423986575,0.022655560812013455,88,-0.03008633229827945,0.03445013661581181,0.23890663021846978
partial,within_network_z,SomMot,-1.3832285685488528,0.1665947925637321,0.02227036790689589,88,4.1449999906852456e-05,0.0002388535393966565,0.23751169856181395
partial,roi_to_network_z,DLPFC_R--DorsAttn,-1.3409610316246015,0.17993310497107118,0.02095821335527076,88,-0.0003346228008103921,-1.7018336487575588e-05,0.23751169856181395
spearman,between_network_z,Limbic--Cerebellum,-1.3153442179872306,0.18839424362114676,0.02018112422647679,88,-0.0158910517775529,0.03568487396593967,0.403202094410478
spearman,roi_to_network_z,Hippocampus_R--SomMot,-1.1325739452254642,0.2573932152978947,0.01504083928291362,88,-0.035061686143976284,0.04177355953532208,0.403202094410478
spearman,roi_to_network_z,Hippocampus_R--DorsAttn,-1.051045077981276,0.293237886843984,0.01298043246775194,88,-0.046012750791151885,0.010852152978916119,0.403202094410478
partial,between_network_z,DorsAttn--Limbic,1.010869566071002,0.312078861974475,0.01201875979076801,88,0.0002638105887881931,-9.811994087481689e-06,0.39610009404452595
partial_9block,between_network_z,SomMot--Cont,-0.9608518306953643,0.3366266734827553,0.010871420843354412,88,-0.10628710493135746,-0.028096058974065058,0.4591300695921939
pearson,mean_strength,DLPFC_R,-0.9284302116119864,0.3531844530841092,0.010157465461411835,88,2.8898784703383313,16.493778160479778,0.4540942968224261
partial,mean_strength,Cont,-0.8792369047032559,0.37927283839087145,0.009119141824944929,88,-0.06176254960152194,-0.02804592589956645,0.5486493757524263
spearman,between_network_z,Subcortical--Cerebellum,-0.8434687199699376,0.3989663527179089,0.008398387347939311,88,-0.007239461605109826,0.033040535935600884,0.42497236853242293
partial_9block,between_network_z,Default--Cont,0.8385198379597036,0.4017388108931682,0.008300940459470333,88,0.05458890431564922,-0.02195164142320427,0.4591300695921939
partial_9block,between_network_z,Cont--Default,0.8385198379597011,0.40173881089316965,0.008300940459470284,88,0.05458890431564911,-0.02195164142320416,0.4591300695921939
